name,online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city_location
Jalsa,1,1,4.1,775,CasualDining,NorthIndian Mughlai Chinese,800.0,Buffet,banashankari
Spice Elephant,1,0,4.1,787,CasualDining,Chinese NorthIndian Thai,800.0,Buffet,banashankari
San Churro Cafe,1,0,3.8,918,Cafe CasualDining,Cafe Mexican Italian,800.0,Buffet,banashankari
Addhuri Udupi Bhojana,0,0,3.7,88,QuickBites,SouthIndian NorthIndian,300.0,Buffet,banashankari
Grand Village,0,0,3.8,166,CasualDining,NorthIndian Rajasthani,600.0,Buffet,basavanagudi banashankari
Timepass Dinner,1,0,3.8,286,CasualDining,NorthIndian,600.0,Buffet,basavanagudi banashankari
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,CasualDining,NorthIndian SouthIndian Andhra Chinese,800.0,Buffet,mysoreroad banashankari
Onesta,1,1,4.6,2556,CasualDining Cafe,Pizza Cafe Italian,600.0,Cafes,banashankari
Penthouse Cafe,1,0,4.0,324,Cafe,Cafe Italian Continental,700.0,Cafes,banashankari
Smacznego,1,0,4.2,504,Cafe,Cafe Mexican Italian Momos Beverages,550.0,Cafes,banashankari
Caf Down The Alley,1,0,4.1,402,Cafe,Cafe,500.0,Cafes,banashankari
Cafe Shuffle,1,1,4.2,150,Cafe,Cafe Italian Continental,600.0,Cafes,banashankari
The Coffee Shack,1,1,4.2,164,Cafe,Cafe Chinese Continental Italian,500.0,Cafes,banashankari
Caf-Eleven,0,0,4.0,424,Cafe,Cafe Continental,450.0,Cafes,banashankari
San Churro Cafe,1,0,3.8,918,Cafe CasualDining,Cafe Mexican Italian,800.0,Cafes,banashankari
Cafe Vivacity,1,0,3.8,90,Cafe,Cafe,650.0,Cafes,banashankari
Catch-up-ino,1,0,3.9,133,Cafe,Cafe FastFood Continental Chinese Momos,800.0,Cafes,banashankari
Kirthi's Biryani,1,0,3.8,144,Cafe,Chinese Cafe Italian,700.0,Cafes,banashankari
T3H Cafe,0,0,3.9,93,Cafe,Cafe Italian American,300.0,Cafes,banashankari
360 Atoms Restaurant And Cafe,1,0,3.1,13,Cafe,Cafe Chinese Continental Italian,400.0,Cafes,banashankari
The Vintage Cafe,1,0,3.0,62,Cafe,Cafe French NorthIndian,400.0,Cafes,banashankari
Woodee Pizza,1,0,3.7,180,Cafe,Cafe Pizza FastFood Beverages,500.0,Cafes,banashankari
Cafe Coffee Day,0,0,3.6,28,Cafe,Cafe FastFood,900.0,Cafes,banashankari
My Tea House,1,0,3.6,62,QuickBites Cafe,Italian FastFood Cafe European,600.0,Cafes,banashankari
Hide Out Cafe,0,0,3.7,31,Cafe,Cafe,300.0,Cafes,banashankari
CAFE NOVA,0,0,3.2,11,Cafe,Cafe Bakery,600.0,Cafes,banashankari
Coffee Tindi,1,0,3.8,75,Cafe QuickBites,Cafe SouthIndian,200.0,Cafes,banashankari
